Menu item,Meal Type,Food Type
Biscuit Petit Lu,dessert,Blé Seigle
-,NA,NA
Lasagnes* napolitaines,Plat,legumes autres
Mâche aux graines de tournesol bio,Entrée,legumes autres
Fromage Chanteneige,fromage,Fromage
Gratin de choux fleurs,Accompagnement,type chou
Sauté de veau° marengo,Plat,Boeuf
Carottes râpées bio,Entrée,legumes racines
Eclair au chocolat,dessert,Lait
Crêpe au fromage,Plat,Fromage
Epinards à la crème,Accompagnement,legumes autres
Pomme bio°,dessert,fruits autre
Fromage Belle de Nantes°,fromage,Fromage
Poisson meunière,Plat,Poissons
Petits pois,Accompagnement,legumes autres
Potage au potiron,Entrée,legumes autres
Marmelade de pommes,dessert,fruits autre
Banane,dessert,Banane
Camembert,fromage,Fromage
Saucisses de porc bio,Plat,Porc
Salade coleslaw,Entrée,legumes autres
Yaourt fermier bio°,fromage,Lait
Cube de poisson à la dieppoise,Plat,Poissons
Pommes vapeur bio,Accompagnement,pomme de terre
Emincé de boeuf* thaï,Plat,Boeuf
Petit suisses aromatisés,dessert,Lait
Endives au thon,Entrée,legumes autres
Riz,Accompagnement,Riz
Edam,fromage,Fromage
Crêpe tomate / mozzarella bio,Plat,legumes autres
Omelette bio,Plat,oeufs
Haricots verts/haricots beurre,Accompagnement,legumes autres
Poire,dessert,fruits autre
Carottes râpées bio,Entrée,legumes racines
Yaourt aromatisé,fromage,Lait
Raviolis de légumes,Plat,legumes autres
Rôti de porc,Plat,Porc
Biscuit Petit Lu,dessert,Blé Seigle
Fromage blanc,fromage,Fromage
Ratatouille,Accompagnement,legumes autres
Mâche au chèvre,Entrée,legumes autres
MUFFINS,dessert,Blé Seigle
Salade océane,Entrée,legumes autres
Pommes de terre émoticône,Accompagnement,pomme de terre
Chocolat de noel,dessert,Sucre Cannes
-,NA,NA
Aiguillettes de poulet°,Plat,Volaille
Jus de pommes,dessert,fruits autre
Salade de perles,Entrée,legumes autres
Purée de légumes verts,Accompagnement,legumes autres
Crème de gruyère,fromage,Fromage
Pomme bio°,dessert,fruits autre
Poisson meunière,Plat,Poissons
ora),dessert,fruits autre
Lasagnes* napolitaines,Plat,legumes autres
Betteraves,Entrée,legumes racines
pomme,dessert,fruits autre
Camembert,fromage,Fromage
pastèque,dessert,fruits autre
melon,dessert,fruits autre
Petits panés de volaille*,Plat,Volaille
Purée de courge maison,Accompagnement,legumes autres
Flan au chocolat,dessert,Lait
brocolis),Accompagnement,legumes autres
Gratinée de légumes (pdt,Accompagnement,legumes autres
Salade verte aux noix,Entrée,legumes autres
Rôti de boeuf*,Plat,Boeuf
carottes,Accompagnement,legumes racines
Epinards à la crème,Accompagnement,legumes autres
Pizza au fromage,Plat,Fromage
Poisson au curry,Plat,Poissons
Fromage Belle de Nantes°,fromage,Fromage
Poire,dessert,fruits autre
Gouda,fromage,Fromage
Roulé au fromage,dessert,Fromage
Jambon fumé,Entrée,Porc
Pomme bio°,dessert,fruits autre
Petits pois,Accompagnement,legumes autres
Yaourt aux fruits mixés,dessert,Lait
Salade coleslaw,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Salade verte,Entrée,legumes autres
Petits suisses aromatisés,dessert,Lait
Blanquette de veau*,Plat,Boeuf
Carottes râpées bio,Entrée,legumes racines
Riz,Accompagnement,Riz
Gratin de choux fleurs,Accompagnement,type chou
Omelette bio,Plat,oeufs
Tomme noire,fromage,Fromage
Clémentines,dessert,agrumes
Taboulé,Entrée,legumes autres
Pâtes à la bolognaise° et gruyère râpé,Plat,legumes autres
Crème dessert caramel,dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Salade verte au thon,Entrée,legumes autres
Tartiflette aux lardons,Plat,pomme de terre
Yaourt fermier bio°,fromage,Lait
brocolis),Accompagnement,legumes autres
Potage de légumes,Entrée,legumes autres
Edam,fromage,Fromage
croûtons,Accompagnement,Blé Seigle
Emincé de dinde,Plat,Volaille
Banane,dessert,Banane
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Accompagnement,legumes racines
Purée de légumes verts,Accompagnement,legumes autres
Filet de lieu sauce du Perray,Plat,Poissons
Choux rouges bio° à la mimolette,Accompagnement,type chou
Morbier,fromage,Fromage
Eclair au chocolat,dessert,Sucre blanc
Ananas,dessert,fruits autre
Cantal,fromage,Fromage
Petits pois,Accompagnement,legumes autres
Tarte au fromage,dessert,Fromage
Poulet fermier dAncenis,Plat,Volaille
Purée de carottes et potiron,Accompagnement,legumes racines
Poisson pané,Plat,Poissons
Camembert,fromage,Fromage
Poire,dessert,fruits autre
Salade de pâtes Napoli,Entrée,Blé Seigle
Crème dessert vanille,dessert,Lait
Pommes noisettes,Accompagnement,fruits autre
Rôti de boeuf*,Plat,Boeuf
Choux blancs bio° à la mimolette,Accompagnement,type chou
Lait bio,Accompagnement,Lait
Oeuf dur bio° / mayonnaise,Entrée,oeufs
Semoule bio valencienne,Accompagnement,Blé Seigle
Crêpe au sucre,dessert,Blé Seigle
Poisson,Plat,Poissons
Fondant au chocolat,dessert,Sucre blanc
Pilon de poulet confit,Plat,Volaille
Salade douceur au gruyère,Entrée,Fromage
Haricots verts/haricots beurre,Accompagnement,legumes autres
Yaourt au citron BBC°,Accompagnement,Lait
Emincé de boeuf* thaï,Plat,Boeuf
Galettes de légumes,Accompagnement,legumes autres
Dés de betteraves et maïs,Entrée,legumes racines
Jambon fumé,Entrée,Porc
Salade de douceur au surimi,Entrée,Poissons
Lentilles bio,Accompagnement,Legumineuse autre
Flan caramel,dessert,Lait
Crêpe au fromage,Entrée,Fromage
Haché de poulet*,Plat,Volaille
Fromage bio,fromage,Fromage
Pommes noisettes,Accompagnement,fruits autre
Pomme bio°,dessert,fruits autre
Tarte aux pommes,dessert,fruits autre
Salade verte,Entrée,legumes autres
Raviolis de légumes,Plat,legumes autres
Choux blancs bio° à la mimolette,Accompagnement,type chou
Aiguillettes de colin façon tempura,Plat,Poissons
avec sauce et salade verte,Accompagnement,legumes autres
Salade de fruits au sirop,dessert,fruits autre
Sauce aigre douce,Accompagnement,Tomates
Nems aux légumes,Entrée,legumes autres
Riz  cantonais,Accompagnement,Riz
Pomme bio°,dessert,fruits autre
Edam,fromage,Fromage
Potage tomate/vermicelle,Entrée,Tomates
Paëlla au poisson,Plat,Poissons
Purée de potimarron bio°,Accompagnement,legumes racines
Rôti de porc,Plat,Porc
Creme dessert chocolat,dessert,Lait
Salade verte aux dés de chèvre,Entrée,Fromage
Saute de veau bio*° au citron,Plat,Boeuf
Frites,Accompagnement,pomme de terre
Bâtonnets de carottes bio° sauce crème,Accompagnement,legumes racines
Yaourt  fermier  bio°,Accompagnement,Lait
Galette de soja tomate/basilic et sauce tomate,Plat,Tofu
Salade de blé bio ( blé bio,Entrée,Blé Seigle
Kiwi bio°,dessert,fruits autre
Courgettes à la tomate,Accompagnement,legumes autres
mais,Accompagnement,Mais
tomates ),Accompagnement,Tomates
Petits panés de volaille*,Plat,Volaille
Madeleine,dessert,Blé Seigle
Ratatouille,Accompagnement,legumes autres
Betteraves,Entrée,legumes racines
Yaourt  fermier  bio°,Accompagnement,Lait
Purée de légumes verts,Accompagnement,legumes autres
Compote de pommes / biscuit,dessert,fruits autre
tomate,Accompagnement,Tomates
Poisson pané,Plat,Poissons
Salade de blé bio à la mimolette (blé bio,Entrée,Blé Seigle
mimolette,Accompagnement,Fromage
Timbale de pâtes aux lardons,Plat,Porc
Crème dessert vanille,dessert,Lait
Endives au thon,Entrée,Poissons
Orange,dessert,agrumes
Chèvre,fromage,Fromage
Choux rouges bio° à la mimolette,Accompagnement,type chou
Filet de lieu au beurre blanc,Plat,Poissons
Pomme de terre vapeur,Accompagnement,pomme de terre
Semoule bio,Accompagnement,Blé Seigle
Boulettes de boeuf* sauce barbecue,Plat,Boeuf
Mäche au gruyère,Entrée,Fromage
Ananas,dessert,fruits autre
Carottes râpées bio,Entrée,legumes racines
Gratin dauphinois,Accompagnement,pomme de terre
Yaourt aromatisé,Accompagnement,Lait
Pilon de poulet confit,Plat,Volaille
Lieu sauce au curry,Plat,Poissons
Poêlée de légumes,Accompagnement,legumes autres
Kiwi bio°,dessert,fruits autre
Camembert,fromage,Fromage
Tarte au fromage,dessert,Fromage
Edam,fromage,Fromage
Pizza au fromage,Plat,Fromage
Jambon fumé,Entrée,Porc
Pomme bio°,dessert,fruits autre
Petits pois,Accompagnement,legumes autres
Biscuit,dessert,Blé Seigle
Oeufs durs à la mayonnaise,Entrée,oeufs
Parmentier de poisson  ,Plat,Poissons
Salade verte,Entrée,legumes autres
Blanquette de veau*,Plat,Veau
Petit suisses aromatisés,fromage,Lait
Choux blancs bio° à la mimolette,Accompagnement,type chou
Riz,Accompagnement,Riz
Fromage Chanteneige,fromage,Fromage
ora),dessert,fruits autre
Salade de fruits frais (ananas,dessert,fruits autre
pomme,dessert,fruits autre
pastèque,dessert,fruits autre
melon,dessert,fruits autre
Tortilla aux pommes de terre,Plat,pomme de terre
Courgettes à la tomate,Accompagnement,legumes autres
pomme,dessert,fruits autre
pastèque,dessert,fruits autre
melon,dessert,fruits autre
Taboulé,Entrée,Blé Seigle
Lasagnes* napolitaines,Plat,Blé Seigle
Salade verte aux graines de tournesol,Entrée,legumes autres
Crème dessert caramel,dessert,Lait
Marmelade de pommes,dessert,fruits autre
Rôti de dinde au jus,Plat,Volaille
Saint-Paulin,fromage,Fromage
Banane,dessert,Banane
Tarte au fromage,dessert,Fromage
Gaspacho,Entrée,legumes autres
Poisson filet meuniere (surgele + arrondi en frais),Plat,Poissons
Cantal,fromage,Fromage
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Accompagnement,legumes racines
Eclair au chocolat,dessert,Sucre blanc
Orange,dessert,agrumes
Petits panés de volaille*,Plat,Volaille
Haricots verts/haricots beurre,Accompagnement,legumes autres
Camembert,fromage,Fromage
Salade de pâtes Napoli,Entrée,Blé Seigle
Epinards à la crème,Accompagnement,legumes autres
Crêpe tomate / mozzarella bio,Entrée,Fromage
Ananas,dessert,fruits autre
Gouda,fromage,Fromage
Filet de poisson aux petits légumes,Plat,Poissons
Concombres sauce crème,Entrée,legumes autres
Rôti de boeuf*,Plat,Boeuf
Crème dessert caramel,dessert,Lait
Frites,Accompagnement,pomme de terre
Petits suisses aromatisés,fromage,Lait
Galette de soja  tomate / basilic et sauce tomate,Plat,Tofu
Pâtes semi-complètes bio,Accompagnement,Blé Seigle
Choux blancs bio° à la mimolette,Accompagnement,type chou
brocolis),Accompagnement,legumes autres
Lait bio,Accompagnement,Lait
Fondant au chocolat,dessert,Sucre blanc
Radis bio,Entrée,legumes racines
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Accompagnement,legumes racines
Poulet fermier dAncenis,Plat,Volaille
Galettes de légumes,Accompagnement,legumes autres
Roulé au fromage,Entrée,Fromage
Tomme blanche,fromage,Fromage
Banane,dessert,Banane
Emincé de boeuf* thaï,Plat,Boeuf
Céleri rémoulade bio,Entrée,legumes racines
Fleur dAnjou bio°,fromage,Fromage
Filet de lieu sauce niçoise,Plat,Poissons
Kiwi bio°,dessert,fruits autre
Pommes rissolées,Accompagnement,fruits autre
ora),dessert,fruits autre
Salade verte aux dés de gruyère,Entrée,Fromage
Salade de fruits frais (ananas,dessert,fruits autre
pomme,dessert,fruits autre
pastèque,dessert,fruits autre
melon,dessert,fruits autre
Rôti de porc au jus°,Plat,Porc
Pâtes bio et gruyère râpé,Accompagnement,Fromage
Carottes râpées bio,Entrée,legumes racines
Hachis Parmentier*,Plat,pomme de terre
Yaourt  fermier  bio°,Accompagnement,Lait
Fromage blanc / Coulis de fruits rouges,dessert,Fromage
Lasagnes* napolitaines,Plat,Blé Seigle
Betteraves,Entrée,legumes racines
brocolis),Accompagnement,legumes autres
Gratinée de légumes (pdt,Accompagnement,pomme de terre
Radis bio,Entrée,legumes racines
Gouda,fromage,Fromage
Poisson meunière,Plat,Poissons
carottes,Accompagnement,legumes racines
Cocktail de fruits au sirop,Entrée,fruits autre
Salade de perles,Entrée,legumes autres
Tomme noire,fromage,Fromage
Banane,dessert,Banane
Sauté de dinde aux citrons,Plat,Volaille
Petits pois,Accompagnement,legumes autres
Chili de légumes sans tofu,Plat,legumes autres
Salade douceur / demi-oeuf,Entrée,oeufs
Yaourt fermier bio°,fromage,Lait
Crème de gruyère,fromage,Fromage
Jambon fumé,Entrée,Porc
Courgettes à la tomate,Accompagnement,legumes autres
Melon,Entrée,fruits autre
Eclair au chocolat,dessert,Sucre blanc
Gaspacho,Entrée,legumes autres
Dos de lieu au poivre rose,Plat,Poissons
Camembert,fromage,Fromage
Fraises,dessert,fruits autre
Pomme de terre vapeur,Accompagnement,pomme de terre
ora),Entrée,legumes autres
Céréales gourmandes bio,Entrée,Blé Seigle
Salade de fruits frais (ananas,dessert,fruits autre
pastèque,dessert,fruits autre
melon,dessert,fruits autre
Betteraves aux dés de gruyère,Entrée,legumes racines
Boulettes de boeuf* sauce aigre douce,Plat,Boeuf
pomme,dessert,fruits autre
Frites,Accompagnement,pomme de terre
Burger à lémincé de dinde,Plat,Volaille
Salade verte aux graines de tournesol,Entrée,legumes autres
Yaourt nature,fromage,Lait
Concombres sauce crème,Entrée,legumes autres
Purée de légumes verts,Accompagnement,legumes autres
Riz au lait bio,dessert,Riz
Rôti de boeuf*,Plat,Boeuf
Fromage de chèvre frais,fromage,Fromage
Epinards à la crème,Accompagnement,legumes autres
Nectarine,dessert,fruits autre
Fleur dAnjou bio°,Entrée,legumes autres
Poisson pané,Plat,Poissons
Taboulé,Entrée,Blé Seigle
brocolis),Accompagnement,type chou
Edam,fromage,Fromage
Tarte au fromage,Plat,Fromage
Compote pomme et framboise,dessert,fruits autre
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Plat,legumes autres
Saucisses de porc bio,Plat,Porc
Parmentier de poisson ,Plat,Poissons
Salade verte,Entrée,legumes autres
Pastèque,dessert,fruits autre
Creme dessert chocolat,dessert,Sucre blanc
Salade de tomates,Entrée,Tomates
Yaourt aromatisé,fromage,Lait
Sauté de veau bio* à la forestière,Plat,Boeuf
Pommes noisettes,Accompagnement,fruits autre
Fraises à la chantilly,dessert,fruits autre
Salade lentilles bio° à la mimolette,Entrée,Legumineuse autre
Carottes à lindienne,Accompagnement,legumes racines
Tortilla aux pommes de terre,Plat,pomme de terre
salade douceur au thon,Entrée,Poissons
Lasagnes* napolitaines,Plat,Blé Seigle
Fromage blanc / miel,fromage,Lait
Gaspacho,Entrée,legumes autres
Nectarine,dessert,fruits autre
Petits panés de volaille*,Plat,Volaille
Jardinière de légumes,Accompagnement,legumes autres
Emmental,fromage,Fromage
Lait bio,fromage,Lait
Rôti de porc,Plat,Porc
Tarte au citron,dessert,agrumes
Ratatouille,Accompagnement,legumes autres
Melon,Entrée,fruits autre
Filet de lieu au beurre blanc,Plat,Poissons
Flan caramel,dessert,Sucre blanc
Concombres,Entrée,legumes autres
Riz,Accompagnement,Riz
Poulet fermier dAncenis,Plat,Volaille
concombres),Entrée,legumes autres
maïs,Entrée,Mais
Fromage Le Mouillotin,fromage,Fromage
Abricots,dessert,fruits autre
Pâté bio°,Entrée,Porc
Salade carnaval (tomates,Entrée,Tomates
Cerises,dessert,Bais et Raisins
Radis bio,Entrée,legumes racines
Fromage tome fleur danjou bio en 850 gr,fromage,Fromage
Poisson meunière,Plat,Poissons
Pommes rissolées,Accompagnement,fruits autre
Rôti de boeuf*,Plat,Boeuf
Fromage blanc et fraises,fromage,Lait
Tomates en salade,Entrée,Tomates
Purée de légumes verts,Accompagnement,legumes autres
Galette de soja tomate / basilic et sauce tomate,Plat,Soja et composé
Tzatziki,Entrée,legumes autres
Semoule,Accompagnement,Blé Seigle
Yaourt fermier bio°,fromage,Lait
Lait bio,fromage,Lait
Haché de poulet*,Plat,Volaille
Beignet aux pommes,dessert,fruits autre
Carottes à la crème,Accompagnement,legumes racines
Pastèque,dessert,fruits autre
menu depannage,Plat,
Poisson pané,Plat,Poissons
Nectarine,dessert,fruits autre
Fromage bio,fromage,Fromage
Purée de pommes de terre,Accompagnement,pomme de terre
Betteraves,Entrée,legumes racines
Mimolette,fromage,Fromage
Abricots,dessert,fruits autre
Oeufs durs à la mayonnaise,Entrée,oeufs
Raviolis de légumes,Plat,legumes autres
Ratatouille/blé bio,Plat,legumes autres
Pilon de poulet confit,Plat,Volaille
Radis bio,Entrée,legumes racines
Tomme blanche,fromage,Fromage
Compote de pommes / biscuit,dessert,fruits autre
Salade grecque (concombre+feta),Entrée,legumes autres
Jambon fumé,Entrée,Porc
Haricots verts/haricots beurre,Accompagnement,legumes autres
Crème dessert lait et chocolat,dessert,Sucre blanc
thon maïs),Entrée,Poissons
Pancake et sirop dérable,Plat,Blé Seigle
Melon,Entrée,fruits autre
Fromage fondu au chèvre,fromage,Fromage
Salade composée au mini farballes et thon (pâtes,Entrée,legumes autres
Fromage blanc,fromage,Lait
Rillettes de thon et citron,Entrée,Poissons
Abricots secs,dessert,fruits autre
Lasagnes* napolitaines,Plat,Blé Seigle
Gaspacho / croûtons,Entrée,legumes autres
Gratin de choux fleurs,Plat,type chou
Banane,dessert,Banane
Saint-Nectaire,fromage,Fromage
Poisson meunière,Plat,Poissons
brocolis),Accompagnement,type chou
Pilon de poulet confit,Plat,Volaille
Raisin,dessert,Bais et Raisins
Roulé au fromage,Entrée,Fromage
Gouda,fromage,Fromage
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Plat,legumes autres
Flan caramel,dessert,Sucre blanc
Galette de soja tomate / basilic et sa sauce tomate,Plat,Soja et composé
Riz et sauce tomate,Accompagnement,Riz
Salade verte / demi-oeuf,Entrée,legumes autres
Ketchup,Accompagnement,Tomates
Viande de volaille Kebab,Plat,Volaille
Creme dessert chocolat,dessert,Sucre blanc
Madeleine,dessert,Blé Seigle
Ratatouille,Accompagnement,legumes autres
Pastèque,dessert,fruits autre
Petits suisses aromatisés,fromage,Lait
Pâtes,Accompagnement,Blé Seigle
Salade douceur au surimi,Entrée,Poissons
Haché de poulet*,Plat,Volaille
Boeuf* sauce aux champignons,Plat,Boeuf
Fromage bio,fromage,Fromage
Pomme bio°,dessert,fruits autre
Roulé au fromage,Entrée,Fromage
Haricots verts,Accompagnement,legumes autres
Poire,dessert,fruits autre
Salade verte,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Choux blancs bio° à la mimolette,Entrée,type chou
Melon,Entrée,fruits autre
Pâtes,Accompagnement,Blé Seigle
Roti de boeuf*,Plat,Boeuf
Fromage blanc / Coulis de fruits rouges,fromage,Lait
Tomates cerises,Entrée,Tomates
Petits panés de volaille*,Plat,Volaille
Crème dessert vanille,dessert,Sucre blanc
Petits-pois,Accompagnement,legumes autres
Edam,fromage,Fromage
Blanquette de veau*,Plat,Boeuf
Radis bio,Entrée,legumes racines
Carottes bio°,Accompagnement,legumes racines
Eclair au chocolat,dessert,Sucre blanc
Salade de riz (riz,Entrée,Riz
Prunes Reine-Claude,dessert,fruits autre
Purée de légumes verts,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
maïs,Entrée,Mais
Camembert,fromage,Fromage
poivrons),Entrée,legumes autres
carottes,Accompagnement,legumes racines
Pizza,Plat,Blé Seigle
Raisin,dessert,Bais et Raisins
Marmelade de pommes,dessert,fruits autre
Tomme noire,fromage,Fromage
Roti de dinde,Plat,Volaille
Hachis Parmentier*,Plat,pomme de terre
Île flottante,dessert,Sucre blanc
Concombres,Entrée,legumes autres
Salade verte,Entrée,legumes autres
Pastèque,dessert,fruits autre
Yaourt fermier bio °/ miel,fromage,Lait
Paëlla au poisson,Plat,Poissons
Carré bio°,Fromage,Fromage
Tortilla aux pommes de terre,Plat,pomme de terre
Pomme bio°,dessert,fruits autre
Ratatouille,Accompagnement,legumes autres
Salade de pâtes Napoli,Entrée,Blé Seigle
Salade coleslaw,Entrée,type chou
Boulettes de boeuf sauce tomate,Plat,Boeuf
Semoule,Accompagnement,Blé Seigle
Crème dessert caramel,dessert,Lait
Pâtes,Accompagnement,Blé Seigle
Saucisse knacks bio°,Plat,Porc
Yaourt aromatisé,dessert,Lait
Ketchup,Accompagnement,Tomates
Carottes râpées bio°,Entrée,legumes racines
Mousse de foie bio°,Entrée,Foie
Saint-Paulin,Fromage,Fromage
Roti de dinde,Plat,Volaille
Petits-pois,Accompagnement,legumes autres
Poire,dessert,fruits autre
Poisson sauce crème,Plat,Poissons
Purée de légumes verts,Accompagnement,legumes autres
Tarte au citron,dessert,Blé Seigle
Radis bio,Entrée,legumes racines
Tomme blanche,Fromage,Fromage
Tarte végétale aux lentilles,Plat,Lentilles
Fromage blanc,Fromage,Fromage
Rillettes de thon et citron,Entrée,Poissons
Salade verte,Entrée,legumes autres
brocolis),Accompagnement,type chou
Pilon de poulet confit,Plat,Volaille
Raisin,dessert,Raisins
Gouda,Fromage,Fromage
Roulé au fromage,Plat,Fromage
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Accompagnement,legumes autres
Tzatziki,Entrée,Legumineuse autre
Flan caramel,dessert,Oeuf
Galette de soja tomate / basilic et sa sauce tomate,Plat,Soja et composé
Riz et sauce tomate,Accompagnement,Riz
Ketchup,Accompagnement,Tomates
Rôti de porc,Plat,Porc
Creme dessert chocolat,dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Madeleine,dessert,Blé Seigle
Ratatouille,Accompagnement,legumes autres
Boeuf* sauce aux champignons,Plat,Boeuf
Fromage bio,Fromage,Fromage
Poire,dessert,fruits autre
Salade de pâtes Napoli,Entrée,Blé Seigle
Haricots verts,Accompagnement,legumes autres
Clémentines,dessert,agrumes
Salade verte,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Choux blancs bio° à la mimolette,Entrée,type chou
Salade coleslaw,Entrée,type chou
Crème dessert vanille,dessert,Lait
Boulettes de boeuf sauce tomate,Plat,Boeuf
Semoule,Accompagnement,Blé Seigle
Demi-pamplemousse,Entrée,agrumes
Saucisse knacks bio°,Plat,Porc
Frites,Accompagnement,pomme de terre
Yaourt aromatisé,dessert,Lait
Ketchup,Accompagnement,Tomates
Mousse de foie bio°,Entrée,Foie
Pomme bio°,dessert,fruits autre
Saint-Paulin,Fromage,Fromage
Roti de dinde,Plat,Volaille
Petits-pois,Accompagnement,legumes autres
Poisson sauce crème,Plat,Poissons
Purée de légumes verts,Accompagnement,legumes autres
Tarte grillée aux abricots,dessert,Blé Seigle
Fleur dAnjou bio°,Entrée,Legumineuse autre
Carottes râpées bio°,Entrée,legumes racines
Potage de légumes croûtons,Entrée,legumes autres
Cantal,Fromage,Fromage
Carottes bio,Accompagnement,legumes racines
Banane,dessert,Banane
Poisson meunière,Plat,Poissons
brocolis),Accompagnement,type chou
Pilon de poulet confit,Plat,Volaille
Roulé au fromage,Plat,Fromage
Gouda,Fromage,Fromage
haricots verts,Accompagnement,legumes autres
pdt,Accompagnement,pomme de terre
Poire,dessert,fruits autre
Poêlée de légumes (carottes,Accompagnement,legumes autres
Sauce bolognaise végétale,Plat,Soja et composé
Flan caramel,dessert,Oeuf
Galette de soja tomate / basilic et sa sauce tomate,Plat,Soja et composé
Riz et sauce tomate,Accompagnement,Riz
Salade verte / demi-oeuf,Entrée,Oeuf
Creme dessert chocolat,dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Jambon fumé,Plat,Porc
Biscuit petit palmier,dessert,Blé Seigle
Ratatouille,Accompagnement,legumes autres
Haché de poulet*,Plat,Volaille
Petits suisses aromatisés,dessert,Lait
Pâtes,Accompagnement,Blé Seigle
Salade de mâche au surimi,Entrée,Poissons
Ketchup,Accompagnement,Tomates
Boeuf* sauce aux champignons,Plat,Boeuf
Salade (de lentille soleane,Entrée,Legumineuse autre
Compote,dessert,fruits autre
Fromage Le Mouillotin,Fromage,Fromage
Haricots verts,Accompagnement,legumes autres
Clémentines,dessert,agrumes
Salade verte,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Choux blancs bio° à la mimolette,Entrée,type chou
Potage au potiron,Entrée,legumes autres
Lasagnes végétales,Plat,Blé Seigle
Salade verte,Entrée,legumes autres
Crème dessert chocolat bio°,dessert,Lait
Fromage blanc / Coulis de fruits rouges,Fromage,Fromage
Salade coleslaw,Entrée,type chou
Petits-pois,Accompagnement,legumes autres
Petits panés de volaille*,Plat,Volaille
Edam,Fromage,Fromage
Blanquette de veau*,Plat,Veau
Carottes rondelles bio,Accompagnement,legumes racines
Celeri remoulade,Entrée,legumes racines
Crêpe au sucre,dessert,Blé Seigle
Salade de riz (riz,Entrée,Riz
Purée de légumes verts,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
Pomme bio°,dessert,fruits autre
maïs,Accompagnement,Mais
Camembert,Fromage,Fromage
poivrons),Accompagnement,legumes autres
carottes,Accompagnement,legumes racines
Pizza,Plat,Blé Seigle
Rôti de porc,Plat,Porc
Ananas,dessert,fruits autre
Marmelade de pommes,dessert,fruits autre
Tomme noire,Fromage,Fromage
Salade de douceur au surimi,Entrée,Poissons
Île flottante,dessert,Oeuf
Hachis Parmentier*,Plat,Boeuf
Yaourt fermier° miel,dessert,Lait
Choux rouges bio°,Entrée,type chou
Paëlla au poisson,Plat,Poissons
Carré bio°,Fromage,Fromage
Tortilla aux pommes de terre,Plat,pomme de terre
Ratatouille,Accompagnement,legumes autres
Poire,dessert,fruits autre
Salade de pâtes Napoli,Entrée,Blé Seigle
Salade coleslaw,Entrée,type chou
Boulettes de boeuf sauce tomate,Plat,Boeuf
Semoule,Accompagnement,Blé Seigle
Crème dessert lait et chocolat,dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Saucisse knacks bio°,Plat,Porc
Frites,Accompagnement,pomme de terre
Yaourt aromatisé,dessert,Lait
Ketchup,Accompagnement,Tomates
Mousse de foie bio°,Entrée,Foie
Saint-Paulin,Fromage,Fromage
Roti de dinde,Plat,Volaille
Petits-pois,Accompagnement,legumes autres
Clémentines,dessert,agrumes
Fromage blanc à la confiture de Muroise,Fromage,Fromage
Rillettes de thon et citron,Entrée,Poissons
Lasagnes* napolitaines,Plat,Blé Seigle
Carottes bio,Accompagnement,legumes racines
Banane,dessert,Banane
Poisson meunière,Plat,Poissons
Morbier,Fromage,Fromage
Potage tomate/vermicelle,Entrée,Tomates
Gateau craquant au chocolat,dessert,Blé Seigle
avec mayonnaise,Entrée,Oeuf
Nectar multifruits en litre,dessert,fruits autre
Salade de mache et crevette,Entrée,Crustacés
pilon de Canard confit,Plat,Volaille
Cantal,Fromage,Fromage
Chocolat de noel,dessert,Lait
Pommes de terre sourire,Accompagnement,pomme de terre
Sauce bolognaise végétale,Plat,Soja et composé
Galette de soja tomate / basilic et sa sauce tomate,Plat,Soja et composé
Riz et sauce tomate,Accompagnement,Riz
Yaourt aux fruits mixés,dessert,Lait
Choux rouge bio et demi oeuf,Entrée,Oeuf
Fromage blanc,Fromage,Fromage
mangue séchée bio,Accompagnement,fruits autre
Salade de mâche au surimi,Entrée,Poissons
Hachis Parmentier*,Plat,Boeuf
Sauce bolognaise végétale,Plat,Soja et composé
Riz et sauce tomate,Accompagnement,Riz
Choux rouges bio°,Entrée,type chou
Poisson pané,Plat,Poissons
Poire,dessert,fruits autre
Crème dessert lait et chocolat,dessert,Lait
Omelette bio,Plat,Oeuf
Ratatouille,Accompagnement,legumes autres
Salade de pâtes Napoli,Entrée,Blé Seigle
Lait bio,dessert,Lait
Semoule,Entrée,Blé Seigle
Demi-pamplemousse,Entrée,agrumes
Boulettes de boeuf sauce tomate,Plat,Boeuf
